year,month,state,genus_species,serotypeorgenogroup,status,locationofconsumption,totalill,totalhospitalizations,totaldeaths,foodvehicle,contaminated_ingredient,serialid
2004,August,Michigan,,,,Restaurant - other or unknown type,2,0,0,"fried onions/onion rings, unspecified; salad, unspecified",,8465
2004,August,Michigan,,,,Restaurant - other or unknown type,2,,,"chicken, other",,8466
2004,May,Michigan,,,,Private home; Restaurant - other or unknown type,5,0,0,,,8467
2004,November,Illinois,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,5,2,0,"eggs, other",,8468
2004,October,Mississippi,Salmonella enterica,Enteritidis,Confirmed,Unknown or undetermined,20,12,0,"egg-containing food, other",,8469
2004,April,Colorado,Norovirus,,Confirmed,"Nursing home, assisted living facility, home care",49,0,0,,,8470
2004,April,Arizona,,,,Hospital,6,0,0,"pizza, unspecified",,8471
2004,August,Colorado,Norovirus,,Confirmed,Picnic,15,0,0,,,8472
2004,June,Arizona,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,18,1,0,shrimp cocktail,,8473
2004,October,California,Clostridium perfringens,,Suspected,Private home,4,0,1,"stew/chili, unspecified",,8474
2004,September,California,Norovirus,,Suspected,Other,2,0,0,,,8475
2004,August,California,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - other or unknown type,8,5,0,bean dip; lime,,8476
2004,August,California,Norovirus,,Suspected,Restaurant - other or unknown type,12,0,0,"multiple foods; sandwich, bacon, lettuce, tomato",,8477
2004,July,California,Salmonella enterica,Anatum,Confirmed,Private home,26,3,0,"spaghetti, unspecified",,8478
2004,December,Illinois,Norovirus,,Confirmed,Other,17,0,0,"sandwich, roast beef",,8479
2004,December,Illinois,Norovirus,,Confirmed,Other,43,0,0,"tortellini, unspecified",,8480
2004,February,Oregon,Norovirus,,Confirmed,Restaurant - other or unknown type,11,0,0,,,8481
2004,July,Florida,Salmonella enterica,Heidelberg,Confirmed,Restaurant - other or unknown type,4,1,0,"chile relleno, unspecified",,8482
2004,November,North Dakota,,,,Other,15,1,0,,,8483
2004,December,Illinois,Norovirus,,Confirmed,Other; Restaurant - other or unknown type,39,,,water,,8484
2004,September,Pennsylvania,Salmonella enterica,Enteritidis,Confirmed,Other; Private home,32,3,0,,,8485
2004,November,California,Other bacterial,,Suspected,Restaurant - other or unknown type,4,0,0,dim sum,,8486
2004,December,Connecticut,Norovirus,,Confirmed,Restaurant - other or unknown type,17,1,0,hummus,,8487
2004,November,Wisconsin,Norovirus,,Confirmed,Other; Restaurant - other or unknown type,20,0,0,,,8488
2004,November,Texas,,,,Hospital,21,0,0,"deli meat, sliced turkey; other food *****; sandwich, ham",,8489
2004,September,North Carolina,Salmonella enterica,Enteritidis,Confirmed,"Church, temple, etc",30,14,0,rutabaga,Pork,8490
2004,August,North Carolina,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,6,1,0,,,8491
2004,June,North Carolina,Salmonella enterica,Javiana,Confirmed,Restaurant - other or unknown type,14,2,0,,,8492
2004,April,Arizona,,,,Other,7,,,,,8493
2004,December,Minnesota,Clostridium perfringens,,Confirmed,Restaurant - other or unknown type,50,0,0,,,8494
2004,December,Wisconsin,Norovirus,,Confirmed,"Church, temple, etc",47,3,0,"corn, unspecified",,8495
2004,December,Georgia,Norovirus,,Confirmed,Restaurant - other or unknown type,3,0,0,,,8496
2004,December,Tennessee,Norovirus,,Confirmed,"Church, temple, etc",30,0,0,,,8497
2004,December,Georgia,Other chemical,,Suspected,School,7,0,0,,,8498
2004,October,Georgia,Other chemical,,Suspected,School,8,2,0,"cookies, unspecified",,8499
2004,July,Oregon,Salmonella enterica,Enteritidis,Confirmed,"Nursing home, assisted living facility, home care",25,3,2,,,8500
2004,September,North Carolina,,,,"Church, temple, etc",24,0,0,,,8501
2003,December,Pennsylvania,,,,Private home,7,0,0,,,8502
2003,June,Ohio,Salmonella enterica,Saintpaul,Confirmed,Hospital,5,,,,,8503
2003,May,Ohio,,,,Restaurant - other or unknown type,5,,,"chicken, other",,8504
2003,June,Ohio,Norovirus,,Suspected,"Camp; Church, temple, etc",93,0,0,,,8505
2004,December,Oregon,Clostridium botulinum,,Confirmed,Private home,2,2,0,"mushrooms, canned",Fungus,8506
2010,December,Tennessee,,,,,5,0,0,,,8507
2004,November,North Dakota,,,,Restaurant - other or unknown type,11,0,0,,,8508
2004,December,Oregon,Norovirus,,Confirmed,"Workplace, not cafeteria",20,0,0,"green beans, unspecified",Nuts,8509
2003,December,Pennsylvania,Salmonella enterica,Heidelberg,Confirmed,Restaurant - other or unknown type,6,2,0,,,8510
2004,February,Pennsylvania,Rotavirus,,Confirmed,"Nursing home, assisted living facility, home care",22,0,6,,,8511
2004,December,Illinois,Norovirus,,Confirmed,Restaurant - other or unknown type,78,4,0,,,8512
2004,December,Illinois,Norovirus,,Suspected,Restaurant - other or unknown type,65,0,0,,,8513
2004,December,Wisconsin,Clostridium perfringens,,Suspected,"Workplace, not cafeteria",34,0,0,"chicken, fried",,8514
2004,November,Wisconsin,Norovirus,,Confirmed,Other,19,0,0,"sandwich, submarine",,8515
2004,May,Iowa,Norovirus,,Suspected,Private home,15,0,0,"turkey, other",,8516
2004,November,Florida,Staphylococcus aureus,,Suspected,Restaurant - other or unknown type,3,,,"cake, unspecified",,8517
2004,November,Florida,Staphylococcus aureus,,Suspected,Restaurant - other or unknown type,2,,,"rice, unspecified",,8518
2004,November,Florida,Salmonella enterica,Unspecified,Suspected,Restaurant - other or unknown type,26,,,"potato, unspecified",,8519
2004,November,Florida,Salmonella enterica,Unspecified,Suspected,Restaurant - other or unknown type,16,,,"potato, unspecified",,8520
2004,December,Illinois,Norovirus,,Suspected,"Workplace, not cafeteria",19,0,0,other food *****,,8521
2004,December,Illinois,Norovirus,,Suspected,Camp; Private home,8,,,ranch dressing; rolls; unknown vegetable,,8522
2004,December,Wisconsin,Norovirus,,Confirmed,Restaurant - other or unknown type,103,1,0,multiple foods,,8523
2004,November,Oregon,Bacillus cereus; Clostridium perfringens,,Suspected; Suspected,Other,23,0,0,,,8524
2004,November,Oregon,Norovirus,,Suspected,Restaurant - other or unknown type,8,0,0,,,8525
2004,July,Oregon,Norovirus,,Confirmed,Unknown or undetermined,22,0,0,,,8526
2004,July,Oregon,Vibrio parahaemolyticus,,Suspected,Private home,3,0,0,"oysters, unspecified",,8527
2004,December,Georgia,,,,Restaurant - other or unknown type,2,0,0,"sandwich, fajita",,8528
2004,December,Georgia,Norovirus,,Suspected,School,70,0,0,,,8529
2004,December,Oregon,Norovirus,,Suspected,Restaurant - other or unknown type,10,0,0,,,8530
2004,November,Tennessee,Giardia lamblia,,Confirmed,Other,6,0,0,chicken salad,,8531
2004,December,Tennessee,Yersinia enterocolitica,,Confirmed,Private home,6,0,0,"pork, chitterlings",,8532
2004,December,Georgia,Yersinia enterocolitica,,Confirmed,Private home,3,0,0,"pork, chitterlings",Pork,8533
2004,October,Ohio,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,3,1,0,,,8534
2004,October,Ohio,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,3,1,0,,,8535
2004,December,New Hampshire,Norovirus,,Suspected,School,10,0,0,"canoli, unspecified",,8536
2004,June,New York,Norovirus,Unspecified,Confirmed,Picnic,46,0,0,"clams, raw; shrimp sauce, unspecified",Sauces/ Dressings; Shellfish,8537
2004,October,New York,Hepatitis A,,Confirmed,Restaurant - other or unknown type,11,2,1,,,8538
2004,November,Wisconsin,Norovirus,,Confirmed,Other,93,0,0,,,8539
2004,November,Tennessee,Staphylococcus aureus,,Confirmed,"Church, temple, etc",36,0,0,turkey and gravy ; turkey and stuffing,,8540
2004,December,Minnesota,Staphylococcus aureus,,Suspected,Restaurant - other or unknown type,4,0,0,lasagna,,8541
2004,December,Mississippi,,,,Restaurant - other or unknown type,35,0,0,,,8542
2004,September,New York,Campylobacter unknown,,Confirmed,Private home,2,2,0,,,8543
2003,August,Ohio,Norovirus,,Confirmed,Restaurant - other or unknown type,13,3,0,,,8544
2003,August,Ohio,Bacillus cereus,,Confirmed,Restaurant - other or unknown type,11,0,0,"fried rice, unspecified; rice, white",,8545
2003,March,Ohio,Norovirus,,Confirmed,Restaurant - other or unknown type,27,1,0,,,8546
2004,December,Oregon,Norovirus,,Confirmed,Restaurant - other or unknown type,6,0,0,,,8547
2004,November,Oregon,Staphylococcus aureus,,Suspected,Restaurant - other or unknown type,6,0,0,,,8548
2003,January,Ohio,,,,Private home,5,0,0,"cake, unspecified; ice cream, commercial",,8549
2003,February,Ohio,,,,Private home,4,0,0,"pizza, meat and vegetable",,8550
2003,February,Ohio,,,,Restaurant - other or unknown type,2,,0,,,8551
2003,February,Ohio,Other chemical,,Suspected,Other,7,0,0,milkshake,,8552
2003,March,Ohio,,,,Restaurant - other or unknown type,2,0,0,,,8553
2004,January,Missouri,,,,Restaurant - other or unknown type,50,0,0,,,8554
2003,April,Ohio,,,,Private home,3,0,0,"pizza, unspecified",,8555
2004,February,Missouri,Norovirus,,Suspected,Restaurant - other or unknown type,21,0,0,"crab cakes; mushrooms, unspecified",,8556
2003,March,Ohio,,,,Private home,3,0,0,"sandwich, submarine",,8557
2004,November,Oregon,Salmonella enterica,Typhimurium,Confirmed,Private home,4,0,0,,,8558
2004,December,Florida,Norovirus,,Confirmed,Other,12,1,,house salad,,8559
2003,May,Ohio,,,,Restaurant - other or unknown type,13,,,,,8560
2004,December,Connecticut,Norovirus,,Suspected,Restaurant - other or unknown type,6,0,0,,,8561
2004,December,New York,,,,Restaurant - other or unknown type,20,0,0,,,8562
2004,August,Colorado,Salmonella enterica,Infantis,Confirmed,Picnic,8,0,0,,,8563
2004,December,Minnesota,Bacillus cereus,,Suspected,"Workplace, not cafeteria",43,0,0,"turkey, roasted",Turkey,8564
2004,December,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,8,0,0,,,8565
2004,November,New York,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Private home,2,2,1,"beef, other",Beef,8566
2004,December,Tennessee,Norovirus,,Confirmed,Restaurant - other or unknown type,19,0,0,,,8567
2004,December,Georgia,,,,Restaurant - other or unknown type,2,0,0,"chicken, unspecified",,8568
2004,December,Connecticut,Salmonella enterica,Newport,Confirmed,Private home,6,2,0,,,8569
2004,December,Maryland,,,,Other; Private home,2,1,0,"chicken, nuggets/fingers",,8570
2004,September,North Carolina,,,,Other,11,0,0,"burrito, bean; rice, unspecified",,8571
2004,May,Hawaii,Ciguatoxin,,Confirmed,Private home,2,2,0,"snapper, unspecified",,8572
2004,March,Pennsylvania,Norovirus,,Suspected,Restaurant - other or unknown type,30,0,0,,,8573
2004,November,Pennsylvania,Norovirus,,Suspected,Unknown or undetermined,10,1,0,,,8574
2005,January,Connecticut,Norovirus,,Confirmed,Restaurant - other or unknown type,9,0,0,,,8575
2005,January,Maryland,,,,Private home,4,0,0,,,8576
2004,December,Florida,,,,Restaurant - other or unknown type,3,,,"pizza, meat",,8577
2004,December,Florida,,,,Restaurant - other or unknown type,5,,,"chicken, fried",,8578
2004,November,Florida,Salmonella enterica,Unspecified,Suspected,Restaurant - other or unknown type,3,,,"sandwich, chicken",,8579
2004,December,Florida,Salmonella enterica,Unspecified,Suspected,Restaurant - other or unknown type,5,,,"ethnic style, buffet",,8580
2004,December,Florida,,,,Restaurant - other or unknown type,2,,,"salmon, unspecified",,8581
2004,December,New York,Scombroid toxin,,Confirmed,Restaurant - other or unknown type,2,0,0,"tuna, smoked",Fin fish,8582
2004,June,New York,,,,Restaurant - other or unknown type,6,0,0,,,8583
2004,December,Colorado,Clostridium perfringens,,Suspected,Restaurant - other or unknown type,9,0,0,"crab, fried; salmon, unspecified; vegetable-based salads unspecified",Root,8584
2004,September,New York,,,,Other,3,0,0,,,8585
2004,September,New York,,,,Restaurant - other or unknown type,3,0,0,"chicken, unspecified",,8586
2004,September,New York,,,,Other,5,0,0,mesclun mix salad,,8587
2004,November,Florida,Norovirus,,Suspected,Other,19,,,greek salad,,8588
2005,January,Oregon,Norovirus,,Confirmed,Restaurant - other or unknown type,31,1,0,,,8589
2004,November,Arkansas,Salmonella enterica,Heidelberg,Confirmed,"Church, temple, etc; Private home",15,5,0,"turkey, smoked",Turkey,8590
2004,December,Georgia,Norovirus,,Suspected,Restaurant - other or unknown type,11,0,0,,,8591
2004,October,South Carolina,Clostridium perfringens,,Confirmed,Other,9,0,0,"pork, BBQ; rice, unspecified",,8592
2004,November,North Carolina,Shigella sonnei,,Confirmed,Restaurant - other or unknown type,77,2,0,cheese dip,,8593
2004,December,South Dakota,Salmonella enterica,Montevideo,Confirmed,Private home,16,0,0,"turkey, smoked",,8594
2004,November,Washington,,,,Private home,3,0,0,"pizza, meat",,8595
2004,August,Washington,Bacillus cereus,,Suspected,Restaurant - other or unknown type,2,,,,,8596
2004,December,Washington,,,,Restaurant - other or unknown type,4,0,0,,,8597
2004,September,Oregon,Norovirus,,Confirmed,Restaurant - other or unknown type,6,0,0,"tortilla, unspecified",,8598
2004,July,New York,,,,Restaurant - other or unknown type,3,0,0,,,8599
2004,December,Maryland,Scombroid toxin,,Confirmed,Restaurant - other or unknown type,3,0,0,tuna steak,,8600
2004,November,Maryland,Clostridium perfringens,,Confirmed,Other,25,0,0,"roast beef, other",Beef,8601
2004,September,California,Shigella sonnei,,Suspected,Other,32,0,0,"taco, unspecified",,8602
2004,October,Washington,Other chemical,,Suspected,Private home,9,0,0,"squash, unspecified",,8603
2004,August,California,Shigella flexneri,,Confirmed,Other,7,1,0,"tamale, unspecified",Cheese,8604
2004,November,California,Bacillus cereus; Clostridium perfringens,,Suspected; Suspected,Restaurant - other or unknown type,9,0,0,,,8605
2004,June,California,Ciguatoxin,,Confirmed,Restaurant - other or unknown type,2,0,0,"fish, bass",Fin fish,8606
2004,October,California,Norovirus,,Suspected,Restaurant - other or unknown type,13,0,0,,,8607
2004,April,California,Salmonella enterica,,Confirmed,"Workplace, not cafeteria",30,,,,,8608
2004,November,New York,Norovirus,,Suspected,Other,6,0,0,"deli meat, sliced turkey",,8609
2004,October,New York,Clostridium perfringens,,Confirmed,Camp; Private home,11,0,0,"gravy, unspecified; turkey and stuffing; turkey, roasted",Turkey,8610
2004,December,Maryland,Clostridium perfringens,,Confirmed,Other,74,2,0,"chicken, baked",Chicken,8611
2004,December,Maryland,Staphylococcus aureus,,Suspected,"Nursing home, assisted living facility, home care; Private home",5,0,0,,,8612
2005,January,Maryland,Norovirus,,Confirmed,Restaurant - other or unknown type,20,0,0,,,8613
2004,November,Washington,Norovirus,,Suspected,Other,51,1,0,"bread, unspecified; potato salad",,8614
2004,December,Washington,Norovirus,Unspecified,Suspected,Restaurant - other or unknown type,14,0,0,Cheese pasteurized,,8615
2004,December,Washington,Norovirus,,Suspected,"Church, temple, etc",27,1,0,"ribs, unspecified",,8616
2004,December,Washington,,,,Restaurant - other or unknown type,4,0,0,"clams, razor",,8617
2004,December,Washington,Norovirus,,Suspected,Restaurant - other or unknown type,11,0,0,seafood-based salad unspecified,,8618
2004,November,California,Bacillus cereus; Clostridium perfringens,,Suspected; Suspected,Other,6,0,0,,,8619
2004,November,Washington,Scombroid toxin,,Confirmed,Grocery store; Private home,16,0,0,"fish, escolar",,8620
2004,December,Wisconsin,Salmonella enterica,Typhimurium,Confirmed,"Prison, jail",21,2,0,"chicken, baked",,8621
2004,December,Nevada,Norovirus,,Confirmed,School,30,1,0,"roast beef, other; turkey, baked",,8622
2005,January,Minnesota,Norovirus,,Confirmed,Other,20,0,0,"sandwich, roast beef",,8623
2005,January,Florida,,,,Restaurant - other or unknown type,2,0,0,"stew/chili, other",,8624
2005,January,Oregon,Norovirus,,Suspected,"Church, temple, etc",5,0,0,,,8625
2004,January,Missouri,,,,Other,20,0,0,"chicken, casserole",,8626
2004,March,Missouri,,,,School,48,0,0,"potato, unspecified; turkey, unspecified",,8627
2004,September,California,"E.coli, Enterotoxigenic",,Confirmed,"Church, temple, etc",62,1,0,multiple foods,,8628
2004,November,New York,Norovirus,,Suspected,Other,16,0,0,,,8629
2004,November,California,Norovirus,,Suspected,Restaurant - other or unknown type,13,0,0,,,8630
2004,January,Missouri,,,,Unknown or undetermined,56,,,,,8631
2004,March,Ohio,,,,Private home; Restaurant - other or unknown type,4,0,0,,,8632
2004,November,Ohio,Norovirus,,Confirmed,Restaurant - other or unknown type,7,0,0,lettuce-based salads unspecified,,8633
2004,December,Washington,Norovirus,,Suspected,Restaurant - other or unknown type,2,0,0,,,8634
2004,May,Arizona,Norovirus,GII / Lordsdale cluster,Confirmed,Restaurant - other or unknown type,20,0,0,,,8635
2004,December,Illinois,Norovirus,,Suspected,Restaurant - other or unknown type,5,0,0,,,8636
2004,December,Illinois,Norovirus,,Confirmed,Other,119,2,0,,,8637
2004,December,Illinois,,,,Private home,11,0,0,,,8638
2004,December,Illinois,Norovirus,,Confirmed,Restaurant - other or unknown type,12,1,0,,,8639
2004,December,Illinois,,,,Private home,6,1,0,,,8640
2004,December,Illinois,,,,Other,8,0,0,,,8641
2004,December,Illinois,,,,Private home,7,2,0,,,8642
2005,January,Illinois,,,,Restaurant - other or unknown type,8,0,0,,,8643
2004,December,Ohio,Norovirus,,Confirmed,Restaurant - other or unknown type,7,0,0,"lettuce-based salads unspecified; salsa, unspecified",,8644
2004,June,Arizona,,,,"Workplace, not cafeteria",4,,,"sandwich, deli",,8645
2004,May,Arizona,Norovirus,GII / Lordsdale cluster,Confirmed,Restaurant - other or unknown type,9,2,0,,,8646
2004,September,New York,Scombroid toxin,,Confirmed,Restaurant - other or unknown type,2,0,0,"tuna, unspecified",,8647
2004,May,Arizona,Norovirus,Unspecified,Suspected,Restaurant - other or unknown type,18,0,0,"ice cream, commercial",,8648
2004,May,Missouri,Salmonella enterica,Enteritidis,Confirmed,"Hospital; Workplace, not cafeteria",3,1,0,,,8649
2004,November,New York,Norovirus,,Suspected,Other,26,0,0,"lettuce-based salads unspecified; sandwich, deli",Leafy,8650
2005,January,Georgia,Norovirus,,Confirmed,Other,200,0,0,,,8651
2004,November,California,Salmonella enterica,,Suspected,Camp,65,0,0,"chicken, other",,8652
2004,February,California,Norovirus,,Suspected,Restaurant - other or unknown type,2,0,0,,,8653
2004,December,California,Bacillus cereus; Clostridium perfringens,,Suspected; Suspected,Day care center,6,0,0,,,8654
2004,September,California,Salmonella enterica,Heidelberg,Confirmed,"Workplace, not cafeteria",11,1,0,"chicken, other",,8655
2004,November,California,Norovirus,,Suspected,Restaurant - other or unknown type,5,0,0,,,8656
2004,October,California,Norovirus,,Suspected,Other,10,0,0,,,8657
2004,October,California,Norovirus,,Suspected,Other,25,0,0,,,8658
2004,August,California,,,,Restaurant - other or unknown type,2,0,0,,,8659
2004,May,California,Bacillus cereus; Clostridium perfringens,,Suspected; Suspected,Other,7,0,0,"taco, unspecified",,8660
2004,May,Missouri,,,,Private home,12,0,0,"pizza, unspecified",,8661
2004,July,Missouri,,,,Other,5,0,0,"ground beef, hamburger",,8662
2004,June,Missouri,,,,"Church, temple, etc",40,,,,,8663
2004,October,Missouri,Staphylococcus aureus,,Suspected,"Fair, festival, temporary mobile service",17,0,0,"pasta, unspecified",,8664
2004,March,Missouri,Norovirus,,Confirmed,Restaurant - other or unknown type,4,0,0,,,8665
2004,September,Missouri,,,,Restaurant - other or unknown type,5,0,0,,,8666
2004,September,California,Bacillus cereus; Clostridium perfringens,,Suspected; Suspected,"Prison, jail",33,0,0,"beans, unspecified",,8667
2004,March,California,Norovirus,,Suspected,Other,6,0,0,"cake, unspecified",,8668
2004,October,New York,Bacillus cereus,,Suspected,Private home,3,0,0,pork fried rice,Rice,8669
2004,November,New York,Norovirus,,Confirmed,Camp,10,1,0,macaroni salad,Pasta,8670
2004,May,California,,,,Restaurant - other or unknown type,2,0,0,"salmon, unspecified",,8671
2004,April,California,,,,Restaurant - other or unknown type,19,1,0,,,8672
2004,June,New York,Norovirus,,Suspected,School,11,0,0,,,8673
2004,November,New York,Staphylococcus aureus,,Suspected,School,7,0,0,macaroni and cheese,,8674
2004,April,California,Other bacterial,,Suspected,Restaurant - other or unknown type,2,0,0,,,8675
2004,May,California,Bacillus cereus; Clostridium perfringens,,Suspected; Suspected,Private home,4,0,0,pork fried rice,,8676
2004,June,Alaska,Clostridium perfringens,,Suspected,Other,30,0,0,"potato, unspecified; sauces, unspecified",,8677
2004,July,Alaska,Vibrio parahaemolyticus,,Confirmed,"Fair, festival, temporary mobile service; Other; Restaurant - other or unknown type",62,0,0,"oysters, raw",,8678
2005,January,Florida,,,,Private home,2,,,"chicken, cacciatore",,8679
2004,May,California,Other bacterial,,Suspected,Other,5,0,0,multiple foods,,8680
2004,May,California,Norovirus,,Suspected,Private home,8,0,0,"pizza, unspecified",,8681
2004,January,California,Norovirus,,Suspected,Restaurant - other or unknown type,3,0,0,,,8682
2004,May,California,Norovirus,,Confirmed,Restaurant - other or unknown type,22,0,0,"rice, unspecified; salsa, unspecified",,8683
2004,July,Arizona,,,,Restaurant - other or unknown type,6,0,0,,,8684
2004,November,Ohio,,,,Picnic; Private home; School,24,0,0,"pork, other",,8685
2004,January,Ohio,,,,Restaurant - other or unknown type,4,,0,,,8686
2004,May,Ohio,Norovirus,,Confirmed,Restaurant - other or unknown type,9,0,0,"salsa, unspecified",,8687
2004,July,Ohio,Salmonella enterica,Group B,Confirmed,"Church, temple, etc",22,4,0,"chicken, roasted",,8688
2004,October,Missouri,,,,"Church, temple, etc",35,0,0,,,8689
2004,December,Alabama,,,,Restaurant - other or unknown type,2,0,0,"chicken, unspecified",,8690
2004,December,Alabama,,,,Restaurant - other or unknown type,2,0,0,spinach salad,,8691
2004,November,Alabama,,,,Other,2,0,0,"chicken, unspecified",,8692
2004,November,Arizona,Norovirus,GII / Lordsdale cluster,Confirmed,"Prison, jail",17,0,0,"carrots, unspecified; sausage, Italian",,8693
2005,January,South Carolina,Norovirus,Unspecified,Suspected,Private home,8,0,0,,,8694
2004,November,Maryland,Norovirus,,Confirmed,Private home,20,0,0,turkey and stuffing,,8695
2005,January,Oregon,Norovirus,,Confirmed,"Prison, jail",39,0,0,,,8696
2004,October,California,Norovirus,,Suspected,Restaurant - other or unknown type,9,0,0,"romaine lettuce, unspecified",,8697
2004,September,California,Norovirus,,Suspected,Restaurant - other or unknown type,5,0,0,"taco, unspecified",,8698
2004,July,New York,Scombroid toxin,,Confirmed,Restaurant - other or unknown type,4,0,0,"tuna, BBQ",,8699
2004,December,Vermont,,,,Restaurant - other or unknown type,5,0,0,salad bar,,8700
2005,January,Connecticut,Norovirus,,Confirmed,Restaurant - other or unknown type,3,0,0,,,8701
2004,January,Texas,,,,Restaurant - other or unknown type,18,1,0,cheese spread,,8702
2004,December,Massachusetts,Norovirus,,Confirmed,"Church, temple, etc",17,1,0,,,8703
2004,November,Illinois,Norovirus,,Confirmed,Other,73,0,0,,,8704
2004,April,California,Other bacterial,,Suspected,Restaurant - other or unknown type,2,0,0,"spaghetti, unspecified",,8705
2004,February,Massachusetts,Hepatitis A,,Confirmed,Private home; Restaurant - other or unknown type,19,12,0,,,8706
2004,November,Ohio,,,,Other; Restaurant - other or unknown type,6,0,0,,,8707
2004,December,Ohio,,,,Restaurant - other or unknown type,7,0,0,ice,,8708
2004,June,New York,Vibrio parahaemolyticus,,Confirmed,Restaurant - other or unknown type,2,0,0,"squid/calamari, unspecified",,8709
2004,January,Missouri,,,,Other,17,0,0,,,8710
2004,December,Missouri,,,,Other,37,0,0,,,8711
2004,December,North Carolina,Norovirus,,Confirmed,Private home,49,0,0,,,8712
2005,January,Hawaii,Ciguatoxin,,Confirmed,Private home,4,0,0,"fish, papio",Fin fish,8713
2003,September,Missouri,Salmonella enterica,Typhimurium,Suspected,Other,8,,,,,8714
2005,January,Illinois,,,,Restaurant - other or unknown type,4,0,0,,,8715
2004,December,Alabama,,,,Private home,2,0,0,"sandwich, ham",,8716
2004,December,Colorado,Norovirus,,Confirmed,Restaurant - other or unknown type,4,0,0,pre-packaged salad,,8717
2004,January,Texas,,,,Unknown or undetermined,707,,,,,8718
2004,February,Texas,Norovirus,,Confirmed,Other,47,1,0,"oysters, raw",,8719
2004,December,North Dakota,Salmonella enterica,Newport,Confirmed,Private home,2,0,0,"turkey, smoked",,8720
2004,December,South Carolina,Norovirus,,Confirmed,Restaurant - other or unknown type,33,0,0,,,8721
2004,November,New York,Norovirus,,Suspected,Restaurant - other or unknown type,33,0,0,"cake, chocolate; eggplant, unspecified; potato, unspecified",,8722
2004,December,New York,,,,Restaurant - other or unknown type,7,0,0,"steak, other",Beef,8723
2005,January,Florida,,,,Restaurant - other or unknown type,2,,,house salad; seafood pasta,,8724
2004,December,Ohio,Norovirus,,Confirmed,Unknown or undetermined,4,,0,,,8725
2004,December,Ohio,Norovirus,,Suspected,Private home,2,,0,"ham, other",,8726
2004,February,Ohio,Norovirus,,Confirmed,Restaurant - other or unknown type,29,4,0,salad bar,,8727
2005,January,Florida,Staphylococcus aureus,,Suspected,Restaurant - other or unknown type,2,0,0,"potato, mashed",,8728
2004,November,Ohio,Norovirus,,Confirmed,Other; Private home,7,0,0,meat/egg-based salads unspecified; seafood-based salad unspecified,,8729
2004,February,Ohio,Norovirus,,Confirmed,Other,60,0,0,,,8730
2004,October,Michigan,,,,Restaurant - other or unknown type,2,0,0,chicken salad,,8731
2004,November,Michigan,Norovirus,,Confirmed,Other,34,0,0,,,8732
2004,March,Ohio,Clostridium perfringens,,Confirmed,Restaurant - other or unknown type,3,0,0,"beef, chimichanga",Beef,8733
2004,December,Michigan,Norovirus,,Suspected,Other,4,,,"nachos, unspecified",,8734
2004,December,Michigan,,,,Restaurant - other or unknown type,4,0,0,chips and salsa,,8735
2004,March,Ohio,Norovirus,,Confirmed,Unknown or undetermined,2,0,0,,,8736
2004,September,Michigan,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,16,1,0,"egg-containing food, other",,8737
2004,March,Missouri,Bacillus cereus,,Suspected,School,16,0,0,"turkey, other",,8738
2004,October,Michigan,,,,Unknown or undetermined,5,,,,,8739
2004,March,Missouri,Bacillus cereus,,Suspected,"School; Workplace, not cafeteria",7,0,0,"fried rice, unspecified",,8740
2004,October,Michigan,Salmonella enterica,Typhimurium,Confirmed,Private home,9,0,0,"pork, other",,8741
2004,November,Illinois,Clostridium perfringens,,Confirmed,Private home,11,0,0,palak paneer,,8742
2004,December,Florida,,,,Restaurant - other or unknown type,5,0,0,"chicken, fried",,8743
2004,December,California,Mycotoxins,,Confirmed,Private home,7,7,0,"mushrooms, unspecified",Fungus,8744
2004,November,California,Norovirus,,Suspected,Restaurant - other or unknown type,5,0,0,multiple foods,,8745
2005,January,Georgia,,,,Private home,7,0,0,"oysters, unspecified",,8746
2004,December,Hawaii,Scombroid toxin,,Confirmed,Restaurant - other or unknown type,2,0,0,"fish, mahi mahi",,8747
2005,January,Washington,Norovirus,,Suspected,Other,60,0,0,,,8748
2005,January,Washington,Norovirus,,Suspected,Restaurant - other or unknown type,4,0,0,lettuce-based salads unspecified,,8749
2004,August,Ohio,Norovirus,,Confirmed,Restaurant - other or unknown type,2,0,0,,,8750
2004,June,Ohio,,,,Restaurant - other or unknown type,4,0,0,,,8751
2004,February,Ohio,,,,Other,11,,,,,8752
2004,November,Ohio,,,,Restaurant - other or unknown type,7,0,0,"spring rolls, unspecified",,8753
2004,November,Ohio,Norovirus,,Confirmed,Restaurant - other or unknown type,4,0,0,,,8754
2004,July,Ohio,Campylobacter unknown,,Confirmed,Private home,5,1,0,"ice cream, homemade",,8755
2005,February,Oregon,Bacillus cereus; Staphylococcus aureus,,Suspected; Suspected,Restaurant - other or unknown type,2,0,0,,,8756
2004,November,Ohio,,,,School,7,0,0,,,8757
